Country,Neighbourhood,Government,Scientist,Journalist,Doctor and Nurses,Philantropist,Traditional Healers,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,country_for_demo,country_name,score_2018,score_2022,log_gdp_2023
Albania,50.72,43.57,49.19,53.49,69.03,54.68,42.43,13404.0,11525.0,12003.0,13209.0,15337.0,15582.0,15271,18086.0,19185.0,23388.0,27259.0,Albania,Albania,5.980000019073486,6.409999847412109,10.05997834929556
Algeria,67.3,64.98,84.42,44.31,81.13,68.35,74.09,238943.0,187494.0,180764.0,190004.0,194507.0,193361.0,164774,185850.0,225709.0,247789.0,264913.0,Algeria,Algeria,3.5,3.660000085830689,12.420332856554275
Argentina,75.87,43.52,89.37,52.81,92.46,71.4,13.94,563614.0,642464.0,556774.0,643861.0,524431.0,446762.0,385218,486040.0,632318.0,645511.0,632145.0,Argentina,Argentina,7.019999980926514,6.849999904632568,13.377797530177084
Australia,92.21,74.49,93.85,71.31,98.09,87.26,57.33,1456939.0,1233921.0,1262655.0,1381110.0,1417162.0,1386277.0,1362613,1655843.0,1725461.0,1742461.0,1796805.0,Australia,Australia,9.09000015258789,8.710000038146973,14.370809039730762
Austria,88.44,73.87,95.68,75.35,96.99,82.12,61.15,438669.0,379584.0,393579.0,414780.0,452787.0,443033.0,434050,480786.0,472339.0,512509.0,521269.0,Austria,Austria,8.289999961853027,8.199999809265137,13.147073550816117
Bahrain,64.29,,71.1,51.47,82.39,70.51,60.27,34773.0,32523.0,33885.0,37205.0,39568.0,40447.0,35838,40840.0,46458.0,46192.0,46943.0,Bahrain,Bahrain,2.7100000381469727,2.5199999809265137,10.740561901902716
Bangladesh,86.78,88.39,87.31,71.72,88.87,75.47,14.65,207102.0,233687.0,265236.0,293755.0,321379.0,351238.0,373902,416265.0,460201.0,451534.0,451096.0,Bangladesh,Bangladesh,5.570000171661377,5.989999771118164,13.020405953544353
Belgium,90.28,59.38,98.09,77.72,98.7,80.73,60.02,538127.0,461091.0,474141.0,500733.0,542885.0,536787.0,529269,598892.0,593906.0,644968.0,664965.0,Belgium,Belgium,7.78000020980835,7.639999866485596,13.376955982144072
Benin,22.99,61.12,43.36,41.64,59.29,42.43,33.44,13288.0,11389.0,11818.0,12697.0,14257.0,14392.0,15674,17699.0,17439.0,19679.0,21249.0,Benin,Benin,5.739999771118164,4.28000020980835,9.887307356307089
Bolivia,57.68,42.0,58.67,48.27,67.71,53.4,34.62,33237.0,33241.0,34189.0,37782.0,40581.0,41193.0,36897,40701.0,44329.0,45464.0,48404.0,Bolivia,Bolivia,5.699999809265137,4.510000228881836,10.724676082976957
